stock_no,2019-06-03,2019-06-04,2019-06-05,2019-06-06,2019-06-10,2019-06-11,2019-06-12,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,2019-06-26,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-29,2019-07-30,2019-07-31,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-30
s000001,1854.136,1846.345,1865.042,1857.252,1922.692,1970.993,1958.528,1961.645,1946.064,1974.109,1994.365,2036.433,2150.174,2125.245,2133.035,2092.525,2083.176,2136.151,2147.058,2170.43,2209.382,2182.894,2179.778,2168.871,2117.454,2117.454,2112.78,2109.664,2200.033,2181.336,2142.384,2133.035,2129.919,2179.778,2157.965,2143.942,2162.639,2212.498,2217.172,2226.521,2238.986,2201.591,2196.917,2140.826,2080.06,2083.176,2109.664,2240.544,2262.357,2355.843,2320.007,2332.472,2327.797,2321.565,2324.681,2335.588,2251.451,2229.637,2282.613,2220.289,2229.637,2223.405,2201.591,2206.266,2251.451,2228.079,2249.893,2271.706,2307.542,2288.845,2267.032,2268.59,2287.287,2251.451,2218.731,2245.218,2312.216,2390.121,2396.354,2365.192,2454.003,2447.771,2477.375,2429.074
s000002,3042.621,3026.51,3110.516,3120.873,3200.276,3260.115,3222.14,3202.577,3214.085,3211.783,3187.617,3191.07,3273.925,3257.814,3237.1,3208.331,3197.974,3203.728,3200.276,3293.488,3321.106,3356.78,3400.509,3389.001,3354.478,3354.478,3356.78,3361.383,3412.016,3452.293,3459.198,3467.253,3462.65,3533.997,3578.877,3452.293,3448.841,3461.499,3447.69,3417.77,3431.579,3309.598,3270.472,3223.291,3108.215,3109.365,3148.491,3181.863,3140.436,3195.673,3145.039,3122.024,3031.113,3024.209,3093.255,3126.627,3151.944,3125.476,3102.461,3043.772,3051.827,3055.279,2988.535,2968.972,2979.329,2957.464,3072.541,3072.541,3094.405,3115.119,3134.682,3096.707,3196.823,3131.23,3086.35,3100.159,3075.993,3084.049,3009.249,3006.947,2994.289,3017.304,2991.987,2980.48
s000063,382.336,384.987,405.056,375.898,391.55,399.124,397.23,394.075,382.21,377.665,378.675,390.919,403.542,403.037,395.085,398.619,397.357,414.145,410.61,427.903,430.175,419.067,419.572,420.077,407.202,406.192,409.474,404.678,406.445,414.902,415.659,410.358,395.842,394.075,394.832,398.493,412.882,418.436,421.592,420.834,420.708,415.533,413.135,396.347,392.939,384.987,380.821,381.705,352.168,362.897,357.469,361.887,358.101,355.702,378.17,376.782,380.316,374.762,369.082,364.159,375.015,376.025,368.325,363.655,370.597,376.529,373.626,386.88,422.728,465.013,466.149,447.594,451.128,445.448,434.214,429.418,441.788,434.214,425.252,435.855,427.651,411.62,419.067,404.047
s000069,206.434,206.131,210.369,205.829,209.461,216.12,214.607,213.396,212.185,210.672,209.461,211.277,215.212,217.028,214.304,210.369,209.461,211.58,210.369,216.12,217.634,220.661,226.714,223.687,219.752,218.239,217.936,218.844,222.477,223.385,226.412,227.32,221.569,229.136,226.714,223.99,226.109,224.293,224.595,223.082,226.412,218.239,214.001,210.974,205.223,206.434,206.737,205.526,199.472,203.407,201.288,201.894,203.105,202.802,211.58,212.488,211.58,210.369,210.369,206.737,209.764,209.461,205.829,206.131,210.369,216.12,218.844,216.423,217.634,217.331,215.212,215.818,220.055,216.726,212.791,213.699,217.028,215.515,210.369,216.423,215.818,217.028,214.909,212.791
s000100,7.938,7.769,7.72,7.552,7.696,8.034,7.889,7.889,7.72,7.696,7.672,7.769,7.889,7.938,7.913,7.841,7.865,7.938,8.034,8.685,8.372,8.179,8.058,8.106,7.817,7.841,7.913,7.865,8.034,8.131,8.251,8.372,8.155,8.131,8.01,8.058,8.179,8.42,8.372,8.468,8.372,8.203,8.275,8.058,7.841,7.576,7.552,7.648,7.552,7.72,7.793,8.155,8.299,8.227,8.42,8.251,8.155,8.203,8.082,7.889,8.01,7.889,7.841,7.769,7.889,7.913,8.01,8.227,8.251,8.565,8.637,9.071,8.975,8.903,8.927,8.83,9.192,9.12,9.192,9.216,8.782,8.71,8.806,8.589
s000157,273.968,272.934,272.934,269.833,270.35,281.205,281.722,291.026,286.891,292.06,294.128,296.713,304.466,307.051,308.085,309.119,309.636,313.771,310.669,300.848,298.263,298.263,291.543,292.06,283.79,286.374,281.722,282.239,289.476,306.017,316.356,315.839,316.872,319.974,317.389,318.423,327.211,324.109,333.414,316.356,318.423,318.94,316.872,307.568,287.408,282.239,281.205,283.273,277.587,286.374,280.171,279.654,276.553,276.553,283.79,285.34,281.205,280.688,286.891,277.07,280.171,279.137,277.07,273.968,293.094,299.297,301.882,306.017,309.636,306.534,308.602,308.602,307.568,302.916,297.746,302.399,300.848,305.5,296.713,297.746,298.78,294.645,294.128,294.645
s000166,6.689,6.633,6.675,6.576,6.59,6.887,6.802,6.831,6.774,6.859,6.873,6.93,7.241,7.269,7.241,7.184,7.085,7.156,7.085,7.227,7.198,7.071,7.085,7.071,6.816,6.859,6.802,6.816,6.859,7.0,7.057,7.043,7.0,7.113,6.986,7.0,7.029,7.014,6.986,6.887,6.958,6.915,6.831,6.661,6.59,6.505,6.449,6.534,6.435,6.548,6.463,6.491,6.491,6.534,6.859,6.915,6.93,6.915,6.887,6.845,7.029,6.93,6.859,6.76,6.958,6.915,6.972,7.113,7.156,7.212,7.212,7.227,7.241,7.17,6.986,6.93,6.986,7.014,6.873,6.887,6.873,6.788,6.802,6.76
s000333,220.379,218.532,217.697,215.982,218.796,226.315,226.491,224.38,222.357,223.325,223.852,228.689,234.317,229.129,229.437,226.183,226.491,227.634,228.03,237.835,241.001,237.835,239.198,243.023,239.154,236.736,236.999,239.154,240.869,240.385,235.329,231.811,231.679,231.239,232.163,233.922,234.713,235.021,234.933,237.483,242.716,240.517,235.68,231.943,226.886,226.491,224.38,227.766,225.215,225.347,221.258,220.599,219.675,221.258,226.754,226.271,227.282,227.898,229.744,224.424,228.865,229.612,228.337,232.075,238.45,238.802,239.418,236.999,238.363,237.923,236.736,234.801,237.879,235.109,233.042,231.767,232.339,231.723,228.997,228.953,224.6,224.248,225.655,224.688
s000338,216.114,214.615,211.803,212.928,220.425,233.546,232.421,233.359,227.548,228.673,227.548,228.86,238.419,236.17,235.046,230.172,229.61,230.547,230.36,241.606,236.732,232.609,235.046,233.921,221.55,223.612,222.675,221.925,224.174,228.673,229.048,230.922,226.236,235.046,234.108,232.984,234.671,235.046,235.42,235.795,237.107,228.11,222.675,219.863,213.49,207.867,206.93,210.491,208.242,212.741,207.117,205.805,203.931,205.243,210.304,210.866,207.867,207.305,209.554,207.117,209.367,209.742,211.429,217.052,218.926,215.552,217.801,223.799,228.673,229.985,228.298,230.547,229.235,226.236,220.8,221.363,219.301,221.55,218.176,218.926,217.052,210.679,212.366,210.304
s000402,205.304,206.155,208.991,208.991,210.976,217.214,205.872,205.304,204.737,204.454,204.17,207.006,212.394,214.095,216.647,215.513,218.916,220.617,222.319,224.871,225.154,226.572,230.542,228.274,224.587,223.736,221.751,221.468,223.453,222.602,223.453,222.319,218.065,224.304,217.781,219.766,217.781,219.483,220.334,220.05,221.184,216.364,211.826,208.707,204.17,201.902,201.618,205.021,203.036,209.558,212.394,215.229,217.498,216.647,221.184,218.632,218.632,218.349,215.513,210.976,212.394,213.244,209.841,207.856,210.409,210.125,215.229,219.766,220.334,221.468,220.901,221.468,223.453,224.304,221.751,222.602,223.736,222.886,219.483,221.184,218.632,216.931,214.662,218.349
